teu_change_id,treaty,current_id,action,old_txt,new_txt,teu_id
***,,107,insert,,"Article 107 When exercising the powers and carrying out the tasks and duties conferred upon them by this Treaty and the Statute of the ESCB, neither the ECB, nor a national central bank, nor any member of their decision-making bodies shall seek or take instructions from Community institutions or bodies, from any government of a Member State or from any other body. The Community institutions and bodies and the governments of the Member States undertake to respect this principle and not to seek to influence the members of the decision-making bodies of the ECB or of the national central banks in the performance of their tasks.",
***,,108,insert,,"Article 108 Each Member State shall ensure, at the latest at the date of the establishment of the ESCB, that its national legislation including the statutes of its national central bank is compatible with this Treaty and the Statute of the ESCB.",
***,,108a,insert,,"Article 108a 1. In order to carry out the tasks entrusted to the ESCB, the ECB shall, in accordance with the provisions of this Treaty and under the conditions laid down in the Statute of the ESCB: - make regulations to the extent necessary to implement the tasks defined in Article 3.1, first indent, Articles 19.1, 22 and 25.2 of the Statute of the ESCB and in cases which shall be laid down in the acts of the Council referred to in Article 106(6); - take decisions necessary for carrying out the tasks entrusted to the ESCB under this Treaty and the Statute of the ESCB; - make recommendations and deliver opinions. 2. A regulation shall have general application. It shall be binding in its entirety and directly applicable in all Member States. Recommendations and opinions shall have no binding force. A decision shall be binding in its entirety upon those to whom it is addressed. Articles 190 to 192 shall apply to regulations and decisions adopted by the ECB. The ECB may decide to publish its decisions, recommendations and opinions. 3. Within the limits and under the conditions adopted by the Council under the procedure laid down in Article 106(6), the ECB shall be entitled to impose fines or periodic penalty payments on undertakings for failure to comply with obligations under its regulations and decisions.",
***,,109,insert,,"Article 109 1. By way of derogation from Article 228, the Council may, acting unanimously on a recommendation from the ECB or from the Commission, and after consulting the ECB in an endeavour to reach a consensus consistent with the objective of price stability, after consulting the European Parliament, in accordance with the procedure in paragraph 3 for determining the arrangements, conclude formal agreements on an exchange rate system for the ECU in relation to non-Community currencies. The Council may, acting by a qualified majority on a recommendation from the ECB or from the Commission, and after consulting the ECB in an endeavour to reach a consensus consistent with the objective of price stability, adopt, adjust or abandon the central rates of the ECU within the exchange rate system. The President of the Council shall inform the European Parliament of the adoption, adjustment or abandonment of the ECU central rates. 2. In the absence of an exchange rate system in relation to one or more non-Community currencies as referred to in paragraph 1, the Council, acting by a qualified majority either on a recommendation from the Commission and after consulting the ECB or on a recommendation from the ECB, may formulate general orientations for exchange rate policy in relation to these currencies. These general orientations shall be without prejudice to the primary objective of the ESCB to maintain price stability. 3. By way of derogation from Article 228, where agreements concerning monetary or foreign exchange regime matters need to be negotiated by the Community with one or more States or international organizations, the Council, acting by a qualified majority on a recommendation from the Commission and after consulting the ECB, shall decide the arrangements for the negotiation and for the conclusion of such agreements. These arrangements shall ensure that the Community expresses a single position. The Commission shall be fully associated with the negotiations. Agreements concluded in accordance with this paragraph shall be binding on the institutions of the Community, on the ECB and on Member States. 4. Subject to paragraph 1, the Council shall, on a proposal from the Commission and after consulting the ECB, acting by a qualified majority decide on the position of the Community at international level as regards issues of particular relevance to economic and monetary union and, acting unanimously, decide its representation in compliance with the allocation of powers laid down in Articles 103 and 105. 5. Without prejudice to Community competence and Community agreements as regards economic and monetary union, Member States may negotiate in international bodies and conclude international agreements.",
***,,109a,insert,,"Article 109a 1. The Governing Council of the ECB shall comprise the members of the Executive Board of the ECB and the Governors of the national central banks. 2. (a) The Executive Board shall comprise the President, the Vice-President and four other members. (b) The President, the Vice-President and the other members of the Executive Board shall be appointed from among persons of recognized standing and professional experience in monetary or banking matters by common accord of the Governments of the Member States at the level of Heads of State or of Government, on a recommendation from the Council, after it has consulted the European Parliament and the Governing Council of the ECB. Their term of office shall be eight years and shall not be renewable. Only nationals of Member States may be members of the Executive Board.",
***,,109b,insert,,"Article 109b 1. The President of the Council and a member of the Commission may participate, without having the right to vote, in meetings of the Governing Council of the ECB. The President of the Council may submit a motion for deliberation to the Governing Council of the ECB. 2. The President of the ECB shall be invited to participate in Council meetings when the Council is discussing matters relating to the objectives and tasks of the ESCB. 3. The ECB shall address an annual report on the activities of the ESCB and on the monetary policy of both the previous and current year to the European Parliament, the Council and the Commission, and also to the European Council. The President of the ECB shall present this report to the Council and to the European Parliament, which may hold a general debate on that basis. The President of the ECB and the other members of the Executive Board may, at the request of the European Parliament or on their own initiative, be heard by the competent Committees of the European Parliament.",
***,,109c,insert,,"Article 109c 1. In order to promote coordination of the policies of Member States to the full extent needed for the functioning of the internal market, a Monetary Committee with advisory status is hereby set up. It shall have the following tasks: - to keep under review the monetary and financial situation of the Member States and of the Community and the general payments system of the Member States and to report regularly thereon to the Council and to the Commission; - to deliver opinions at the request of the Council or of the Commission, or on its own initiative for submission to those institutions; - without prejudice to Article 151, to contribute to the preparation of the work of the Council referred to in Articles 73f, 73g, 103(2), (3), (4) and (5), 103a, 104a, 104b, 104c, 109e(2), 109f(6), 109h, 109i, 109j(2) and 109k(1); - to examine, at least once a year, the situation regarding the movement of capital and the freedom of payments, as they result from the application of this Treaty and of measures adopted by the Council; the examination shall cover all measures relating to capital movements and payments; the Committee shall report to the Commission and to the Council on the outcome of this examination. The Member States and the Commission shall each appoint two members of the Monetary Committee. 2. At the start of the third stage, an Economic and Financial Committee shall be set up. The Monetary Committee provided for in paragraph 1 shall be dissolved. The Economic and Financial Committee shall have the following tasks: - to deliver opinions at the request of the Council or of the Commission, or on its own initiative for submission to those institutions; - to keep under review the economic and financial situation of the Member States and of the Community and to report regularly thereon to the Council and to the Commission, in particular on financial relations with third countries and international institutions; - without prejudice to Article 151, to contribute to the preparation of the work of the Council referred to in Articles 73f, 73g, 103(2), (3), (4) and (5), 103a, 104a, 104b, 104c, 105(6), 105a(2), 106(5) and (6), 109, 109h, 109i(2) and (3), 109k(2), 109l(4) and (5), and to carry out other advisory and preparatory tasks assigned to it by the Council; - to examine, at least once a year, the situation regarding the movement of capital and the freedom of payments, as they result from the application of this Treaty and of measures adopted by the Council; the examination shall cover all measures relating to capital movements and payments; the Committee shall report to the Commission and to the Council on the outcome of this examination. The Member States, the Commission and the ECB shall each appoint no more than two members of the Committee. 3. The Council shall, acting by a qualified majority on a proposal from the Commission and after consulting the ECB and the Committee referred to in this Article, lay down detailed provisions concerning the composition of the Economic and Financial Committee. The President of the Council shall inform the European Parliament of such a decision. 4. In addition to the tasks set out in paragraph 2, if and as long as there are Member States with a derogation as referred to in Articles 109k and 109l, the Committee shall keep under review the monetary and financial situation and the general payments system of those Member States and report regularly thereon to the Council and to the Commission.",
***,,109d,insert,,"Article 109d For matters within the scope of Articles 103(4), 104c with the exception of paragraph 14, 109, 109j, 109k and 109l(4) and (5), the Council or a Member State may request the Commission to make a recommendation or a proposal, as appropriate. The Commission shall examine this request and submit its conclusions to the Council without delay.",
***,,109e,insert,,"Article 109e 1. The second stage for achieving economic and monetary union shall begin on 1 January 1994. 2. Before that date (a) each Member State shall: - adopt, where necessary, appropriate measures to comply with the prohibitions laid down in Article 73b, without prejudice to Article 73e, and in Articles 104 and 104a(1); - adopt, if necessary, with a view to permitting the assessment provided for in subparagraph (b), multiannual programmes intended to ensure the lasting convergence necessary for the achievement of economic and monetary union, in particular with regard to price stability and sound public finances; (b) the Council shall, on the basis of a report from the Commission, assess the progress made with regard to economic and monetary convergence, in particular with regard to price stability and sound public finances, and the progress made with the implementation of Community law concerning the internal market. 3. The provisions of Articles 104, 104a(1), 104b(1) and 104c with the exception of paragraphs 1, 9, 11 and 14 shall apply from the beginning of the second stage. The provisions of Articles 103a(2), 104c(1), (9) and (11), 105, 105a, 107, 109, 109a, 109b and 109c(2) and (4) shall apply from the beginning of the third stage. 4. In the second stage, Member States shall endeavour to avoid excessive government deficits. 5. During the second stage, each Member State shall, as appropriate, start the process leading to the independence of its central bank, in accordance with Article 108.",
***,,109f,insert,,"Article 109f 1. At the start of the second stage, a European Monetary Institute (hereinafter referred to as “EMI”) shall be established and take up its duties; it shall have legal personality and be directed and managed by a Council, consisting of a President and the Governors of the national central banks, one of whom shall be Vice-President. The President shall be appointed by common accord of the Governments of the Member States at the level of Heads of State or of Government, on a recommendation from, as the case may be, the Committee of Governors of the central banks of the Member States (hereinafter referred to as “Committee of Governors”) or the Council of the EMI, and after consulting the European Parliament and the Council. The President shall be selected from among persons of recognized standing and professional experience in monetary or banking matters. Only nationals of Member States may be President of the EMI. The Council of the EMI shall appoint the Vice-President. The Statute of the EMI is laid down in a Protocol annexed to this Treaty. The Committee of Governors shall be dissolved at the start of the second stage. 2. The EMI shall: - strengthen cooperation between the national central banks; - strengthen the coordination of the monetary policies of the Member States, with the aim of ensuring price stability; - monitor the functioning of the European Monetary System; - hold consultations concerning issues falling within the competence of the national central banks and affecting the stability of financial institutions and markets; - take over the tasks of the European Monetary Cooperation Fund, which shall be dissolved; the modalities of dissolution are laid down in the Statute of the EMI; - facilitate the use of the ECU and oversee its development, including the smooth functioning of the ECU clearing system. 3. For the preparation of the third stage, the EMI shall: - prepare the instruments and the procedures necessary for carrying out a single monetary policy in the third stage; - promote the harmonization, where necessary, of the rules and practices governing the collection, compilation and distribution of statistics in the areas within its field of competence; - prepare the rules for operations to be undertaken by the national central banks within the framework of the ESCB; - promote the efficiency of cross-border payments; - supervise the technical preparation of ECU bank notes. At the latest by 31 December 1996, the EMI shall specify the regulatory, organizational and logistical framework necessary for the ESCB to perform its tasks in the third stage. This framework shall be submitted for decision to the ECB at the date of its establishment. 4. The EMI, acting by a majority of two thirds of the members of its Council, may: - formulate opinions or recommendations on the overall orientation of monetary policy and exchange rate policy as well as on related measures introduced in each Member State; - submit opinions or recommendations to Governments and to the Council on policies which might affect the internal or external monetary situation in the Community and, in particular, the functioning of the European Monetary System; - make recommendations to the monetary authorities of the Member States concerning the conduct of their monetary policy. 5. The EMI, acting unanimously, may decide to publish its opinions and its recommendations. 6. The EMI shall be consulted by the Council regarding any proposed Community act within its field of competence. Within the limits and under the conditions set out by the Council, acting by a qualified majority on a proposal from the Commission and after consulting the European Parliament and the EMI, the EMI shall be consulted by the authorities of the Member States on any draft legislative provision within its field of competence. 7. The Council may, acting unanimously on a proposal from the Commission and after consulting the European Parliament and the EMI, confer upon the EMI other tasks for the preparation of the third stage. 8. Where this Treaty provides for a consultative role for the ECB, references to the ECB shall be read as referring to the EMI before the establishment of the ECB. Where this Treaty provides for a consultative role for the EMI, references to the EMI shall be read, before 1 January 1994, as referring to the Committee of Governors. 9. During the second stage, the term “ECB” used in Articles 173, 175, 176, 177, 180 and 215 shall be read as referring to the EMI.",
***,,109g,insert,,"Article 109g The currency composition of the ECU basket shall not be changed. From the start of the third stage, the value of the ECU shall be irrevocably fixed in accordance with Article 109l(4).",
***,,109h,insert,,"Article 109h 1. Where a Member State is in difficulties or is seriously threatened with difficulties as regards its balance of payments either as a result of an overall disequilibrium in its balance of payments, or as a result of the type of currency at its disposal, and where such difficulties are liable in particular to jeopardize the functioning of the common market or the progressive implementation of the common commercial policy, the Commission shall immediately investigate the position of the State in question and the action which, making use of all the means at its disposal, that State has taken or may take in accordance with the provisions of this Treaty. The Commission shall state what measures it recommends the State concerned to take. If the action taken by a Member State and the measures suggested by the Commission do not prove sufficient to overcome the difficulties which have arisen or which threaten, the Commission shall, after consulting the Committee referred to in Article 109c, recommend to the Council the granting of mutual assistance and appropriate methods therefor. The Commission shall keep the Council regularly informed of the situation and of how it is developing. 2. The Council, acting by a qualified majority, shall grant such mutual assistance; it shall adopt directives or decisions laying down the conditions and details of such assistance, which may take such forms as: (a) a concerted approach to or within any other international organizations to which Member States may have recourse; (b) measures needed to avoid deflection of trade where the State which is in difficulties maintains or reintroduces quantitative restrictions against third countries; (c) the granting of limited credits by other Member States, subject to their agreement. 3. If the mutual assistance recommended by the Commission is not granted by the Council or if the mutual assistance granted and the measures taken are insufficient, the Commission shall authorize the State which is in difficulties to take protective measures, the conditions and details of which the Commission shall determine. Such authorization may be revoked and such conditions and details may be changed by the Council acting by a qualified majority. 4. Subject to Article 109k(6), this Article shall cease to apply from the beginning of the third stage.",
***,,109i,insert,,"Article 109i 1. Where a sudden crisis in the balance of payments occurs and a decision within the meaning of Article 109h(2) is not immediately taken, the Member State concerned may, as a precaution, take the necessary protective measures. Such measures must cause the least possible disturbance in the functioning of the common market and must not be wider in scope than is strictly necessary to remedy the sudden difficulties which have arisen. 2. The Commission and the other Member States shall be informed of such protective measures not later than when they enter into force. The Commission may recommend to the Council the granting of mutual assistance under Article 109h. 3. After the Commission has delivered an opinion and the Committee referred to in Article 109c has been consulted, the Council may, acting by a qualified majority, decide that the State concerned shall amend, suspend or abolish the protective measures referred to above. 4. Subject to Article 109k(6), this Article shall cease to apply from the beginning of the third stage.",
***,,109j,insert,,"Article 109j 1. The Commission and the EMI shall report to the Council on the progress made in the fulfilment by the Member States of their obligations regarding the achievement of economic and monetary union. These reports shall include an examination of the compatibility between each Member State's national legislation, including the statutes of its national central bank, and Articles 107 and 108 of this Treaty and the Statute of the ESCB. The reports shall also examine the achievement of a high degree of sustainable convergence by reference to the fulfilment by each Member State of the following criteria: - the achievement of a high degree of price stability; this will be apparent from a rate of inflation which is close to that of, at most, the three best performing Member States in terms of price stability; - the sustainability of the government financial position; this will be apparent from having achieved a government budgetary position without a deficit that is excessive as determined in accordance with Article 104c(6); - the observance of the normal fluctuation margins provided for by the Exchange Rate Mechanism of the European Monetary System, for at least two years, without devaluing against the currency of any other Member State; - the durability of convergence achieved by the Member State and of its participation in the Exchange Rate Mechanism of the European Monetary System being reflected in the long-term interest rate levels. The four criteria mentioned in this paragraph and the relevant periods over which they are to be respected are developed further in a Protocol annexed to this Treaty. The reports of the Commission and the EMI shall also take account of the development of the ECU, the results of the integration of markets, the situation and development of the balances of payments on current account and an examination of the development of unit labour costs and other price indices. 2. On the basis of these reports, the Council, acting by a qualified majority on a recommendation from the Commission, shall assess: - for each Member State, whether it fulfils the necessary conditions for the adoption of a single currency; - whether a majority of the Member States fulfil the necessary conditions for the adoption of a single currency, and recommend its findings to the Council, meeting in the composition of the Heads of State or of Government. The European Parliament shall be consulted and forward its opinion to the Council, meeting in the composition of the Heads of State or of Government. 3. Taking due account of the reports referred to in paragraph 1 and the opinion of the European Parliament referred to in paragraph 2, the Council, meeting in the composition of Heads of State or of Government, shall, acting by a qualified majority, not later than 31 December 1996: - decide, on the basis of the recommendations of the Council referred to in paragraph 2, whether a majority of the Member States fulfil the necessary conditions for the adoption of a single currency; - decide whether it is appropriate for the Community to enter the third stage, and if so - set the date for the beginning of the third stage. 4. If by the end of 1997 the date for the beginning of the third stage has not been set, the third stage shall start on 1 January 1999. Before 1 July 1998, the Council, meeting in the composition of Heads of State or of Government, after a repetition of the procedure provided for in paragraphs 1 and 2, with the exception of the second indent of paragraph 2, taking into account the reports referred to in paragraph 1 and the opinion of the European Parliament, shall, acting by a qualified majority and on the basis of the recommendations of the Council referred to in paragraph 2, confirm which Member States fulfil the necessary conditions for the adoption of a single currency.",
***,,109k,insert,,"Article 109k 1. If the decision has been taken to set the date in accordance with Article 109j(3), the Council shall, on the basis of its recommendations referred to in Article 109j(2), acting by a qualified majority on a recommendation from the Commission, decide whether any, and if so which, Member States shall have a derogation as defined in paragraph 3 of this Article. Such Member States shall in this Treaty be referred to as “Member States with a derogation”. If the Council has confirmed which Member States fulfil the necessary conditions for the adoption of a single currency, in accordance with Article 109j(4), those Member States which do not fulfil the conditions shall have a derogation as defined in paragraph 3 of this Article. Such Member States shall in this Treaty be referred to as “Member States with a derogation”. 2. At least once every two years, or at the request of a Member State with a derogation, the Commission and the ECB shall report to the Council in accordance with the procedure laid down in Article 109j(1). After consulting the European Parliament and after discussion in the Council, meeting in the composition of the Heads of State or of Government, the Council shall, acting by a qualified majority on a proposal from the Commission, decide which Member States with a derogation fulfil the necessary conditions on the basis of the criteria set out in Article 109j(1), and abrogate the derogations of the Member States concerned. 3. A derogation referred to in paragraph 1 shall entail that the following Articles do not apply to the Member State concerned: Articles 104c(9) and (11), 105(1), (2), (3) and (5), 105a, 108a, 109, and 109a(2)(b). The exclusion of such a Member State and its national central bank from rights and obligations within the ESCB is laid down in Chapter IX of the Statute of the ESCB. 4. In Articles 105(1), (2) and (3), 105a, 108a, 109 and 109a(2)(b), “Member States” shall be read as “Member States without a derogation”. 5. The voting rights of Member States with a derogation shall be suspended for the Council decisions referred to in the Articles of this Treaty mentioned in paragraph 3. In that case, by way of derogation from Articles 148 and 189a(1), a qualified majority shall be defined as two thirds of the votes of the representatives of the Member States without a derogation weighted in accordance with Article 148(2), and unanimity of those Member States shall be required for an act requiring unanimity. 6. Articles 109h and 109i shall continue to apply to a Member State with a derogation.",
***,,109l,insert,,"Article 109l 1. Immediately after the decision on the date for the beginning of the third stage has been taken in accordance with Article 109j(3), or, as the case may be, immediately after 1 July 1998: - the Council shall adopt the provisions referred to in Article 106(6); - the governments of the Member States without a derogation shall appoint, in accordance with the procedure set out in Article 50 of the Statute of the ESCB, the President, the Vice-President and the other members of the Executive Board of the ECB. If there are Member States with a derogation, the number of members of the Executive Board may be smaller than provided for in Article 11.1 of the Statute of the ESCB, but in no circumstances shall it be less than four. As soon as the Executive Board is appointed, the ESCB and the ECB shall be established and shall prepare for their full operation as described in this Treaty and the Statute of the ESCB. The full exercise of their powers shall start from the first day of the third stage. 2. As soon as the ECB is established, it shall, if necessary, take over tasks of the EMI. The EMI shall go into liquidation upon the establishment of the ECB; the modalities of liquidation are laid down in the Statute of the EMI. 3. If and as long as there are Member States with a derogation, and without prejudice to Article 106(3) of this Treaty, the General Council of the ECB referred to in Article 45 of the Statute of the ESCB shall be constituted as a third decision-making body of the ECB. 4. At the starting date of the third stage, the Council shall, acting with the unanimity of the Member States without a derogation, on a proposal from the Commission and after consulting the ECB, adopt the conversion rates at which their currencies shall be irrevocably fixed and at which irrevocably fixed rate the ECU shall be substituted for these currencies, and the ECU will become a currency in its own right. This measure shall by itself not modify the external value of the ECU. The Council shall, acting according to the same procedure, also take the other measures necessary for the rapid introduction of the ECU as the single currency of those Member States. 5. If it is decided, according to the procedure set out in Article 109k(2), to abrogate a derogation, the Council shall, acting with the unanimity of the Member States without a derogation and the Member State concerned, on a proposal from the Commission and after consulting the ECB, adopt the rate at which the ECU shall be substituted for the currency of the Member State concerned, and take the other measures necessary for the introduction of the ECU as the single currency in the Member State concerned.",
***,,109m,insert,,"Article 109m 1. Until the beginning of the third stage, each Member State shall treat its exchange rate policy as a matter of common interest. In so doing, Member States shall take account of the experience acquired in cooperation within the framework of the European Monetary System (EMS) and in developing the ECU, and shall respect existing powers in this field. 2. From the beginning of the third stage and for as long as a Member State has a derogation, paragraph 1 shall apply by analogy to the exchange rate policy of that Member State.",
,,,,,,
stop before 26) in G,,,,,,
